age,gender,hours_spent,platform,interests,location,demographics,profession,income,indebt,home_owner,car_owner,status
52,male,8,Instagram,Sports,United Kingdom,Sub_Urban,Software Engineer,14507,0,0,1,normic
50,male,1,Facebook,Travel,United States,Rural,Marketer Manager,16575,1,1,1,normic
22,male,8,YouTube,Lifestlye,United States,Urban,Marketer Manager,14773,1,0,1,normic
59,non-binary,9,Instagram,Sports,Australia,Sub_Urban,Software Engineer,14468,0,0,0,normic
56,male,4,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,15192,1,0,0,normic
58,female,1,YouTube,Sports,United Kingdom,Sub_Urban,Software Engineer,13320,0,1,0,normic
45,non-binary,1,Instagram,Sports,United States,Rural,Marketer Manager,14698,0,0,0,normic
24,non-binary,3,Instagram,Travel,United States,Sub_Urban,Marketer Manager,14311,0,0,0,normic
26,non-binary,5,Instagram,Travel,United States,Sub_Urban,Marketer Manager,13673,0,0,1,normic
25,non-binary,5,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,11564,1,0,1,normic
29,female,9,Facebook,Lifestlye,United States,Sub_Urban,Student,11840,0,1,0,normic
51,non-binary,2,YouTube,Sports,United States,Urban,Marketer Manager,16058,1,1,0,normic
50,non-binary,2,Facebook,Lifestlye,Australia,Rural,Student,17131,0,0,0,normic
40,male,6,Facebook,Sports,United States,Rural,Software Engineer,10726,0,0,1,normic
41,non-binary,9,Instagram,Lifestlye,United States,Urban,Marketer Manager,19436,0,0,0,normic
54,female,1,Instagram,Sports,United Kingdom,Urban,Student,16697,0,0,1,normic
52,female,9,Instagram,Lifestlye,United Kingdom,Rural,Marketer Manager,19257,1,1,1,normic
61,female,9,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10282,0,1,0,normic
57,female,9,Instagram,Sports,United States,Sub_Urban,Marketer Manager,11081,1,1,1,normic
39,non-binary,5,Instagram,Lifestlye,Australia,Rural,Student,13885,0,1,1,normic
44,non-binary,9,Instagram,Travel,United Kingdom,Sub_Urban,Software Engineer,12881,0,0,0,normic
52,female,4,YouTube,Lifestlye,Australia,Urban,Marketer Manager,12970,0,0,1,normic
18,female,2,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,19344,1,1,0,normic
52,non-binary,6,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16985,0,1,1,chad
54,female,4,YouTube,Lifestlye,Australia,Sub_Urban,Student,10947,0,0,0,normic
64,male,6,Instagram,Lifestlye,United States,Rural,Student,14760,0,0,0,normic
31,female,3,YouTube,Lifestlye,Australia,Urban,Software Engineer,19909,0,0,1,normic
20,female,6,Instagram,Travel,United States,Sub_Urban,Marketer Manager,10066,0,0,0,normic
18,male,2,YouTube,Travel,United States,Rural,Student,18828,1,0,1,normic
22,male,2,Facebook,Sports,United States,Sub_Urban,Marketer Manager,18505,1,1,1,normic
43,non-binary,9,YouTube,Travel,United States,Urban,Marketer Manager,10564,0,1,0,normic
31,non-binary,7,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,19793,0,0,1,normic
56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19017,1,0,0,normic
44,male,1,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,13670,0,1,1,normic
26,non-binary,8,Facebook,Lifestlye,United Kingdom,Urban,Software Engineer,19217,1,0,1,normic
32,female,6,Instagram,Sports,Australia,Sub_Urban,Software Engineer,12251,0,1,0,normic
32,male,7,Instagram,Lifestlye,United States,Urban,Marketer Manager,10804,0,1,1,normic
43,non-binary,9,YouTube,Travel,United Kingdom,Sub_Urban,Marketer Manager,14631,1,1,1,normic
59,female,5,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,19583,0,1,1,chad
30,male,1,Instagram,Sports,United States,Rural,Marketer Manager,11235,1,0,1,normic
49,female,7,Instagram,Sports,United Kingdom,Rural,Software Engineer,16720,1,0,1,normic
56,non-binary,5,Instagram,Lifestlye,United States,Urban,Marketer Manager,16906,1,1,1,normic
49,male,3,Instagram,Sports,United Kingdom,Sub_Urban,Marketer Manager,16016,0,0,1,normic
21,female,9,Instagram,Sports,United Kingdom,Urban,Software Engineer,13549,1,0,1,normic
47,male,1,Facebook,Sports,United Kingdom,Rural,Student,17938,1,0,0,normic
54,female,1,YouTube,Lifestlye,United States,Urban,Student,14141,0,0,1,normic
40,non-binary,1,Facebook,Travel,Australia,Urban,Software Engineer,16966,0,1,1,chad
56,non-binary,3,Instagram,Sports,United States,Rural,Student,19546,0,0,0,normic
62,male,6,Instagram,Travel,United Kingdom,Sub_Urban,Software Engineer,15335,0,1,0,normic
32,female,3,YouTube,Lifestlye,United States,Urban,Marketer Manager,15077,0,1,0,normic
60,male,8,Facebook,Lifestlye,Australia,Rural,Marketer Manager,15611,0,0,1,normic
46,male,2,YouTube,Lifestlye,United States,Sub_Urban,Student,18089,1,1,0,normic
53,female,9,Facebook,Lifestlye,Australia,Rural,Marketer Manager,12892,0,0,0,normic
30,female,3,Instagram,Travel,Australia,Urban,Student,15577,1,0,1,normic
49,female,5,YouTube,Sports,United States,Sub_Urban,Student,13618,0,1,1,normic
24,non-binary,8,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,11559,1,0,0,loser
39,male,2,Instagram,Lifestlye,Australia,Rural,Marketer Manager,16683,1,1,0,normic
45,male,6,YouTube,Travel,United States,Rural,Student,11507,0,1,1,normic
19,non-binary,5,Facebook,Travel,Australia,Rural,Marketer Manager,12063,0,0,1,normic
59,female,9,Facebook,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,13642,1,0,1,normic
62,non-binary,5,Facebook,Sports,United States,Sub_Urban,Marketer Manager,12000,0,0,1,normic
23,non-binary,2,Facebook,Sports,United States,Urban,Marketer Manager,11294,0,1,1,normic
45,non-binary,5,Instagram,Lifestlye,United States,Sub_Urban,Software Engineer,14065,1,0,0,loser
45,male,4,YouTube,Travel,United Kingdom,Urban,Marketer Manager,18014,1,1,1,normic
61,non-binary,7,Facebook,Lifestlye,Australia,Rural,Marketer Manager,19945,1,1,1,normic
61,male,6,Instagram,Lifestlye,United States,Rural,Student,11603,0,0,1,normic
37,male,2,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,11322,0,0,1,normic
47,male,5,YouTube,Lifestlye,Australia,Rural,Marketer Manager,15956,0,0,1,normic
28,female,7,Instagram,Lifestlye,United Kingdom,Rural,Software Engineer,12441,0,1,0,normic
45,male,7,Instagram,Lifestlye,United States,Sub_Urban,Student,11098,1,0,1,normic
42,male,5,Facebook,Travel,Australia,Urban,Student,15073,0,1,0,normic
56,female,9,YouTube,Sports,United States,Sub_Urban,Student,19697,1,0,1,normic
50,male,4,YouTube,Sports,United States,Urban,Marketer Manager,19318,0,0,0,normic
18,non-binary,3,Instagram,Travel,United Kingdom,Sub_Urban,Student,18488,0,1,0,normic
44,non-binary,4,YouTube,Sports,United States,Sub_Urban,Software Engineer,13787,1,1,1,normic
30,male,5,Facebook,Lifestlye,United States,Rural,Student,12096,0,0,1,normic
58,female,6,YouTube,Sports,Australia,Sub_Urban,Software Engineer,12208,0,0,1,normic
20,non-binary,3,Instagram,Lifestlye,United Kingdom,Sub_Urban,Student,15988,1,0,1,normic
56,female,2,Instagram,Sports,United States,Urban,Student,10175,0,0,1,normic
23,female,4,Facebook,Travel,Australia,Rural,Software Engineer,17169,1,0,0,normic
25,non-binary,5,Facebook,Sports,United Kingdom,Urban,Student,16014,1,1,1,normic
44,female,4,YouTube,Sports,United Kingdom,Urban,Student,11667,1,1,1,normic
26,non-binary,3,YouTube,Sports,Australia,Rural,Student,18867,1,1,0,normic
54,female,8,Instagram,Travel,Australia,Rural,Marketer Manager,11823,0,1,1,normic
50,non-binary,4,Facebook,Sports,Australia,Rural,Software Engineer,15147,0,0,0,normic
59,male,2,Facebook,Travel,Australia,Sub_Urban,Student,11356,0,1,1,normic
61,non-binary,2,Facebook,Lifestlye,Australia,Rural,Software Engineer,13072,1,1,0,normic
41,non-binary,1,YouTube,Sports,United States,Rural,Software Engineer,13259,0,1,1,normic
32,non-binary,4,Facebook,Travel,United States,Rural,Software Engineer,16199,0,0,0,normic
49,non-binary,9,Instagram,Travel,United Kingdom,Urban,Student,10546,0,1,0,normic
49,female,7,Instagram,Sports,United States,Urban,Student,15231,0,0,1,normic
41,male,7,YouTube,Lifestlye,United States,Sub_Urban,Software Engineer,17965,1,1,1,normic
58,non-binary,7,YouTube,Travel,United States,Urban,Marketer Manager,12083,1,0,1,normic
29,female,8,Facebook,Sports,Australia,Sub_Urban,Software Engineer,12040,0,1,0,normic
56,male,1,YouTube,Lifestlye,United Kingdom,Urban,Marketer Manager,14534,1,0,0,loser
19,male,8,Instagram,Travel,United Kingdom,Rural,Software Engineer,11752,0,1,0,normic
20,male,4,Facebook,Travel,United Kingdom,Urban,Software Engineer,19807,0,0,1,normic
54,male,4,Instagram,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,11849,0,0,1,normic
34,non-binary,4,Facebook,Lifestlye,United States,Urban,Student,12642,1,1,0,normic
19,non-binary,6,YouTube,Sports,United States,Rural,Marketer Manager,11600,0,0,1,normic
19,female,7,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,14402,1,0,0,loser
45,female,6,Facebook,Travel,United Kingdom,Rural,Software Engineer,13799,1,1,1,normic
40,female,1,Instagram,Lifestlye,United States,Rural,Student,10618,0,1,1,normic
54,male,8,Instagram,Lifestlye,United States,Sub_Urban,Student,11132,1,0,0,normic
49,male,7,Facebook,Lifestlye,Australia,Rural,Marketer Manager,15491,1,1,1,normic
50,non-binary,6,YouTube,Travel,Australia,Rural,Student,15795,0,1,1,chad
18,male,6,YouTube,Lifestlye,Australia,Urban,Marketer Manager,17633,1,1,1,normic
36,male,5,Instagram,Lifestlye,United States,Rural,Marketer Manager,11487,1,0,1,normic
19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,17848,0,0,1,normic
61,female,9,Instagram,Sports,Australia,Rural,Student,15009,0,0,0,normic
43,female,9,YouTube,Sports,United Kingdom,Rural,Marketer Manager,19749,1,0,1,normic
49,non-binary,8,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,12113,0,0,0,normic
23,male,9,Instagram,Lifestlye,Australia,Urban,Software Engineer,11044,0,0,1,normic
49,male,8,Instagram,Travel,Australia,Rural,Marketer Manager,12431,1,0,1,normic
21,non-binary,8,Facebook,Sports,Australia,Rural,Marketer Manager,17979,1,1,0,normic
28,male,1,Instagram,Sports,United States,Sub_Urban,Software Engineer,11582,0,0,0,normic
34,male,5,YouTube,Travel,United Kingdom,Rural,Software Engineer,11308,1,0,1,normic
55,female,4,YouTube,Travel,Australia,Sub_Urban,Student,14917,0,1,1,normic
41,non-binary,2,Instagram,Sports,United Kingdom,Urban,Marketer Manager,18793,0,1,0,normic
22,non-binary,8,YouTube,Travel,United Kingdom,Urban,Student,11620,1,1,0,normic
51,non-binary,3,Instagram,Sports,United Kingdom,Rural,Student,17503,1,0,0,normic
23,non-binary,4,Facebook,Travel,Australia,Rural,Software Engineer,14766,0,1,0,normic
39,female,7,Instagram,Travel,United States,Rural,Student,15362,0,0,1,normic
28,female,9,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,15192,0,0,1,normic
33,male,2,YouTube,Sports,United Kingdom,Rural,Software Engineer,16622,0,0,1,normic
50,male,3,Facebook,Travel,United Kingdom,Rural,Marketer Manager,16093,1,1,1,normic
26,male,4,YouTube,Sports,United States,Urban,Marketer Manager,16704,0,1,1,chad
23,male,1,Instagram,Sports,Australia,Rural,Software Engineer,10100,1,0,0,loser
33,female,7,YouTube,Travel,United Kingdom,Urban,Marketer Manager,16657,1,0,0,normic
46,non-binary,2,Instagram,Travel,United States,Rural,Software Engineer,15875,0,0,0,normic
20,female,5,Instagram,Sports,United Kingdom,Urban,Marketer Manager,14271,1,1,1,normic
37,male,1,Facebook,Sports,United States,Rural,Software Engineer,10237,1,0,0,loser
53,female,3,Facebook,Lifestlye,United States,Urban,Student,17226,0,1,1,chad
36,non-binary,2,Facebook,Sports,Australia,Sub_Urban,Marketer Manager,18032,1,0,1,normic
43,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Software Engineer,15218,1,1,1,normic
20,female,7,YouTube,Lifestlye,Australia,Urban,Marketer Manager,14025,0,0,0,normic
36,female,5,YouTube,Lifestlye,United Kingdom,Urban,Marketer Manager,16073,0,1,1,chad
37,female,1,YouTube,Travel,Australia,Rural,Marketer Manager,12542,0,1,1,normic
49,male,6,Instagram,Travel,United Kingdom,Rural,Software Engineer,11537,0,1,0,normic
24,female,5,YouTube,Sports,Australia,Rural,Student,10754,0,1,1,normic
58,female,3,YouTube,Lifestlye,United States,Sub_Urban,Student,17396,0,1,0,normic
50,female,7,YouTube,Travel,United Kingdom,Sub_Urban,Student,17823,0,1,1,chad
57,non-binary,9,Facebook,Travel,United Kingdom,Urban,Software Engineer,15507,1,0,0,normic
56,non-binary,9,YouTube,Travel,United States,Sub_Urban,Student,14235,1,0,1,normic
35,male,9,Instagram,Travel,Australia,Urban,Software Engineer,10540,0,0,1,normic
57,male,2,Facebook,Travel,United Kingdom,Urban,Marketer Manager,15510,1,0,0,normic
18,non-binary,3,Instagram,Lifestlye,United Kingdom,Urban,Marketer Manager,18461,1,1,1,normic
28,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,Student,17926,0,0,0,normic
45,non-binary,5,Facebook,Lifestlye,United States,Rural,Software Engineer,15131,1,1,1,normic
42,female,2,Instagram,Lifestlye,Australia,Sub_Urban,Marketer Manager,18697,0,1,0,normic
40,female,3,YouTube,Sports,Australia,Urban,Software Engineer,11129,1,1,1,normic
48,non-binary,6,Instagram,Lifestlye,Australia,Urban,Software Engineer,13145,0,0,1,normic
47,female,7,Instagram,Travel,United Kingdom,Sub_Urban,Marketer Manager,18553,1,1,1,normic
59,female,9,Instagram,Lifestlye,United States,Urban,Software Engineer,13720,1,0,0,loser
52,male,1,YouTube,Sports,United States,Urban,Marketer Manager,19648,1,0,0,normic
24,non-binary,7,YouTube,Travel,Australia,Sub_Urban,Marketer Manager,14067,0,0,0,normic
33,non-binary,8,Instagram,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,14195,1,0,0,loser
43,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Software Engineer,19873,1,0,0,normic
19,non-binary,4,Facebook,Lifestlye,United Kingdom,Urban,Marketer Manager,19244,0,1,1,chad
18,male,6,YouTube,Travel,United Kingdom,Urban,Software Engineer,17281,0,1,1,chad
29,male,7,YouTube,Travel,United Kingdom,Rural,Marketer Manager,12509,1,0,1,normic
22,male,4,YouTube,Sports,United Kingdom,Rural,Marketer Manager,15016,1,1,1,normic
54,non-binary,8,YouTube,Travel,United States,Sub_Urban,Student,16533,1,0,1,normic
49,non-binary,5,YouTube,Travel,United Kingdom,Rural,Student,14727,1,1,0,normic
26,non-binary,1,Facebook,Lifestlye,United Kingdom,Urban,Student,10681,0,1,1,normic
58,non-binary,4,YouTube,Travel,Australia,Rural,Software Engineer,13932,1,1,0,normic
52,non-binary,3,Instagram,Lifestlye,Australia,Urban,Software Engineer,15560,1,1,1,normic
36,male,9,Instagram,Lifestlye,United States,Sub_Urban,Marketer Manager,14016,0,1,0,normic
33,female,8,Facebook,Travel,Australia,Sub_Urban,Marketer Manager,17339,1,1,0,normic
20,male,1,Instagram,Sports,United Kingdom,Urban,Marketer Manager,10719,1,1,0,normic
37,non-binary,6,Facebook,Sports,Australia,Rural,Marketer Manager,10074,1,1,1,normic
41,male,9,Facebook,Travel,United States,Sub_Urban,Software Engineer,19485,0,1,1,chad
50,non-binary,7,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,14157,0,1,1,normic
41,non-binary,4,YouTube,Lifestlye,Australia,Rural,Marketer Manager,18511,1,1,1,normic
28,male,1,Instagram,Lifestlye,United States,Rural,Student,12149,1,1,0,normic
25,non-binary,2,Instagram,Travel,United States,Urban,Marketer Manager,19644,0,1,0,normic
53,female,5,Facebook,Sports,United Kingdom,Rural,Marketer Manager,19747,1,0,0,normic
55,non-binary,5,Instagram,Sports,Australia,Rural,Marketer Manager,16713,1,1,0,normic
57,female,8,Facebook,Lifestlye,United Kingdom,Rural,Software Engineer,14207,0,1,1,normic
37,female,6,YouTube,Travel,Australia,Urban,Student,17141,0,1,0,normic
52,non-binary,8,YouTube,Sports,Australia,Urban,Marketer Manager,18652,0,1,1,chad
42,male,2,YouTube,Travel,United Kingdom,Sub_Urban,Marketer Manager,19078,1,1,0,normic
52,female,3,Instagram,Sports,Australia,Urban,Student,13936,1,1,0,normic
42,male,6,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,19307,1,0,0,normic
46,female,3,YouTube,Lifestlye,Australia,Rural,Software Engineer,11075,1,0,1,normic
35,non-binary,6,Facebook,Travel,United States,Sub_Urban,Marketer Manager,13876,0,0,1,normic
63,non-binary,6,Facebook,Lifestlye,United Kingdom,Sub_Urban,Software Engineer,14615,1,1,0,normic
35,female,2,YouTube,Sports,United States,Rural,Software Engineer,17265,1,1,0,normic
19,non-binary,7,YouTube,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,16379,0,1,0,normic
52,female,2,Facebook,Travel,United Kingdom,Urban,Student,19118,0,0,1,normic
33,non-binary,6,YouTube,Travel,Australia,Urban,Software Engineer,14652,1,1,1,normic
58,male,1,Facebook,Travel,United Kingdom,Urban,Student,16792,0,1,1,chad
53,non-binary,3,Facebook,Sports,United States,Urban,Marketer Manager,19247,0,0,0,normic
50,male,2,YouTube,Sports,United States,Sub_Urban,Software Engineer,17456,1,0,1,normic
21,non-binary,7,Instagram,Sports,United States,Sub_Urban,Marketer Manager,14674,1,1,0,normic
50,male,4,YouTube,Sports,United Kingdom,Rural,Student,10541,1,1,1,normic
31,non-binary,8,Instagram,Sports,United States,Sub_Urban,Marketer Manager,12161,1,1,0,normic
38,male,6,Facebook,Lifestlye,United Kingdom,Sub_Urban,Marketer Manager,12251,0,1,0,normic
37,female,4,Facebook,Sports,United States,Sub_Urban,Software Engineer,19244,0,0,1,normic
25,female,5,Instagram,Sports,United States,Rural,Marketer Manager,14569,1,1,0,normic
